user,project
khornik,langid
srjafarzadeh,diagnosis
vvaidy,past
marcschwartz,writexls
ejardim,fresh
imosqueira,fresh
filipm,bioturbation
karlines,bioturbation
pieterprovoost,bioturbation
murdoch,highlight
romain,highlight
raicheg,catsim
mmaechler,rmpfr
drosen,hadoopstreaming
mpastell,animal
knimon,yhat
kylemer,yhat
mgates,yhat
rlbuckwa,yhat
dmbates,engrexpt
boulderstats,engrexpt
weitaiyun,fun
yihui,fun
yixuan,fun
dfs700,spsextante
promansk,fselector
nashjc,optimizer
kmm,optimizer
pgilbert,optimizer
dutangc,optimizer
dmbates,optimizer
rvaradh1,optimizer
sdorairaj,optimizer
yixuan,optimizer
hahsler,recommenderlab
hahsler,remm
jonesor,rcolony
mazzia,bvpsolve
karlines,bvpsolve
petzoldt,bvpsolve
francois,pan
hindahaned,forensim
thoree,forensim
xwei,rgospiro
romain,r2html
lecoutre,r2html
spencerg,r2html
the_sculler,plm
ycroissant,plm
azeileis,plm
arne,plm
kleiber,plm
otoomet,plm
taram,rregarch
wilsonj,pcs
drosen,rhadoop
feinerer,rhadoop
stefan7th,rhadoop
riesenh,rhadoop
mannau,rhadoop
biostatmatt,profdpm
dreusser,r-hydro
wbuytaert,r-hydro
kingaa,subplex
ycroissant,mlogit
ycroissant,rlogit
ycroissant,truncreg
azeileis,truncreg
ycroissant,mhurdle
sjlhoaro,mhurdle
ndodder,orgmassspecr
kmm,orgmassspecr
felix_s,tripler
mitja,tripler
schmukle,tripler
manuel,metlab
mariane,metlab
tobias_verbeke,metlab
bkoopfer,rjemm
hahsler,rjemm
cflener,hab-bathy
alexgribov,seurat
msill,seurat
aarsta,gsmoothr
dario,gsmoothr
markrobinsonca,gsmoothr
svn_rss,gsmoothr
amarkos,catkgui
cjgb,colbycol
olg,rniftilib
bwhitcher,rniftilib
henrikb,r-dots
pierre,r-dots
henrikb,aroma-dots
markrobinsonca,aroma-dots
pierre,aroma-dots
georgesmonette,spida
friendly,spida
georgesmonette,p3d
friendly,p3d
raoul,swale
wdweeda,swale
henrikb,mpcbs
nrzhang,mpcbs
hrue,inla
martino,inla
barryrowlingson,colourscheme
bwhitcher,rwave
helmingstay,rwave
johnros,mcp
bwhitcher,dicom
garethbarker,dicom
sofiaolhede,dicom
cameronbracken,tikzdevice
cls59,tikzdevice
croosen,spotfire
timhess,rsap
serbgoalie13,rsap
sotoc,rsap
kooskers,rsap
madsenm,rsap
commando1968,rsap
gregridgeway,gbm
harrys,gbm
bkriegler39,gbm
gsanchez,plspm
lautrink,plspm
erez,haarseg
henrikb,haarseg
phupe,haarseg
yonina,haarseg
relund,mdp
ycroissant,hlogit
frederikl,toxwebs
karlines,toxwebs
agro,enquirer
mcadoret,enquirer
sle,enquirer
gfournier,enquirer
phgrosjean,rimagej
romain,rimagej
mloecher,rgmaps
lyonsquark,roottreetor
deepayan,qtinterfaces
lawremi,qtinterfaces
edd,qtinterfaces
hadley,qtinterfaces
justintalbot,qtinterfaces
tdhock,sublogo
kjell,drm
kjell,sbr
oldbeggar,corrplot
weitaiyun,corrplot
karlines,primprod
tcox,primprod
kprins,mstoolkit
mks21471,mstoolkit
rpugh,mstoolkit
johankoskinen,rsiena
ripleyrm,rsiena
tomsnijders,rsiena
cgreenan,rsiena
steglich,rsiena
gconaldi,rsiena
johninpdx,rsiena
jalospinoso,rsiena
mtonellato,rsiena
natalie,rsiena
preciado,rsiena
cjgb,adgoftest
ebengoechea,mframe
ebengoechea,piutils
elaliberte,fdiversity
iacus,sde
oliviercrespo,xpos-r
apsimcomputer,xpos-r
chickendrinker,xpos-r
mtadross,xpos-r
sepo,xpos-r
felix_s,wrs
avrenli2,wrs
rwilcox,wrs
berndbischl,jhlir
kornel,jhlir
waeltken,jhlir
romain,jhlir
pengchy,cgsea
schmidb,gamesnws
grafab,gamesnws
jryan,rberkeley
edd,rberkeley
yurii,rberkeley
carslaw,openair
karl,openair
blairc,openair
js229,vennerable
rmsams,tradesys
tomanizer,tradesys
cwjacksonjr,ambur
gpiras,sphet
rsbivand,sphet
carslaw,pems
karl,pems
feitonyliu,iforest
ebengoechea,dimmeta
lgautier,dimmeta
tdhock,directlabels
hjiang,deffbinary
patrick,deffbinary
joehl,ff
dadler,ff
lecao,me-integrate
bodanker,lspm
sorenmacbeth,lspm
trevorld,optparse
hmdc,zelig
dbpercival,sapa
wconstan,sapa
dbpercival,fractal
wconstan,fractal
dbpercival,splus2r
wconstan,splus2r
dbpercival,ifultools
wconstan,ifultools
xing,pscn
haochen,pscn
nrzhang,pscn
guirreri,yield-curve
bodanker,yield-curve
berndbischl,mlr
olafm,mlr
arnu,mlr
heike,mlr
schiffner,mlr
borg,mlr
klausi,mlr
kornel,mlr
oflasch,mlr
olli,mlr
stefanhess,mlr
derstefan,mlr
bbuchsbaum,neuroim
bwhitcher,neuroim
mathieu_gautier,nicholsonppp
tdhock,nicholsonppp
cjgb,rserlang
keisuke,rserlang
uweziegenhagen,rserlang
raoul,eeg
markspan,eeg
wdweeda,eeg
schmidb,aedatamanage
barryrowlingson,webmaps
ian_long,remoterengine
romain,remoterengine
berndbischl,remoterengine
romain,orchestra
berndbischl,orchestra
kornel,orchestra
lckarssen,genabel
lan,genabel
yurii,genabel
kianvl,genabel
chernyh,genabel
dfabregat,genabel
erikroos,genabel
maksim,genabel
marcelk,genabel
stiv,genabel
suman762,genabel
wja,genabel
baptiste,gridextra
psolymos,dcr
felix_s,blockr
omega1x,osc
bertcarnell,lhs
dhfoster,modelfree
imarinf,modelfree
kzychaluk,modelfree
dalebarr,gmpm
lexinl,dr
lucascr,dr
sanfordweisberg,dr
fguilhaumon,mmsar
felix_s,futils
hadley,tourr
mhofmann,mcs
azeileis,mcs
cgatu,mcs
tobias_verbeke,a4
wtalloen,a4
sosselae,a4
wligtenberg,a4
adragulescu,rgoogledata
hecvi,satin
tobias_verbeke,hellojavaworld
romain,hellojavaworld
azeileis,countreg
kleiber,countreg
ebo,epinetics
chaussep,gmm
cjgb,uroot
cjgb,partsm
klaus,lava
bxc,lava
tag,lava
scheike,lava
ugoday,rgmdh
maarten,msvm4r
dirienzojulio,lsmeans
mariadelcromero,lsmeans
jfox,car
sanfordweisberg,car
richarddmorey,hybridmc
janvb,bfast
azeileis,bfast
new298,bfast
hyndman,bfast
mdsumner,trip123
andyliaw,randomforest
bryanhanson,chemospec
dahinds,gtdb
jbleyhl,gtdb
smc77,rns3
naras,srs
smc77,rboinc
relund,testcpp
angelabohn,ewc
feinerer,ewc
khornik,ewc
nops,ewc
pmair,ewc
stheussl,ewc
syclik,mrp
malecki,mrp
yusung,mrp
felix,dream
josephguillaume,dream
danielinteract,bfp
cameronbracken,swfdevice
richarddmorey,wmcapacity
blairc,spt
michaelmilton,spt
virgil,spt
dchapsky,pushgp-r
jpk07,pushgp-r
iacus,yuima
abrouste,yuima
hinohide,yuima
hirokimasuda,yuima
kakeru,yuima
kamatani,yuima
fukasawa,yuima
uchida,yuima
nakahiro,yuima
rnomura,yuima
shimizu,yuima
wjzheng,rqtlnetwork
tdhock,bigplot
richarddmorey,bayesfactorpcl
rouderj,bayesfactorpcl
mmaechler,regdevelop
stahel,regdevelop
blewis,bigmemory
jayemerson,bigmemory
kaneplusplus,bigmemory
zarrar,bigmemory
enea,speedglm
larsronnegard,hglm
moudud,hglm
shenxia,hglm
rp,gvar
cosoribu,gvar
krheinberger,gvar
shenxia,mcibd
nkraemer,plsdof
phgrosjean,rfrench
fdl,rfrench
vincent,rfrench
leydold,rvgtest
sgtchaudhuri,rvgtest
rhijmans,geosphere
hahsler,mmsa
cschwarz,btspas
sbonner,btspas
regetz,ecopd
cadotte,ecopd
hahsler,arulesviz
ch_sudheer1985,arulesviz
heinputter119,mstate
colinpmillar,selectivity
friendly,guerry
sdray,guerry
adamvi,sgp
bdomingue,sgp
dbetebenner,sgp
bocaccio,sgp
jds,sgp
olshen,abo
henrikb,abo
venkat,abo
friendly,histdata
glsnow,teachingdemos
edd,rprotobuf
romain,rprotobuf
alexios1175,africa
sluque,divemove
braverock,returnanalytics
peter_carl,returnanalytics
ezivot,returnanalytics
gauravyadav,returnanalytics
gyollin,returnanalytics
kboudt,returnanalytics
angelabohn,snatm
feinerer,snatm
khornik,snatm
pmair,snatm
anrosp,snatm
boulesteix,globalboosttest
thothorn,globalboosttest
cocwl,lossdev
angelabohn,snadata
fwild,snadata
khornik,snadata
pmair,snadata
berwin,sleuth2
yihui,sleuth2
weston,dompi
blewis,dompi
edd,dompi
arubio,snpsprocessing
henrikb,snpsprocessing
mortiz,snpsprocessing
jezwe,seiv
setiapramana,isogenegui
dylan,aqp
myersdb,aqp
hirmas,aqp
winzeler,aqp
roudierp,aqp
sdorairaj,binom
phofmarc,qfin
chleitne,qfin
khornik,qfin
timotheepoisot,esm
timotheepoisot,scian
matteson,ica4fts
ea75,ica4fts
buuren,mice
mhofert,nacopula
mmaechler,nacopula
justintalbot,rql
crundel,rgeos
rsbivand,rgeos
edzer,rgeos
dece,cvr
tmlunde,rwrf
bbolker,r2admb
thioulouse,preprisa
mewissen,sprint
tsloan,sprint
laurence,sprint
mpiotrow,sprint
spetrou,sprint
andrew_hipp,morton
mmaechler,specfun
petebaker,polysegratio
agbarnett,season
petebaker,season
csgillespie,calibayesr
darrenjw,calibayesr
conor,calibayesr
yuhuichen,calibayesr
jranke,kinfit
jasonkrupert,control
pkonings,wikirobot
kweinert,wzd
ligges,signal
schnackenberg,signal
kmiddleton,abd
rpruim,abd
rebjh,glucpack
stvjc,glucpack
rhijmans,dismo
mkalisch,pcalg
mmaechler,pcalg
maryee,charm
maryee,sqn
danelliottster,mogcovreg
hcorrada,seraphim
harrelfe,fishgraph
viking,fishgraph
nate,fishgraph
rtorres,fishgraph
mhprager,fishgraph
berwin,deconwk
dwarton,smatr3
z3103495,smatr3
rduursma,smatr3
csgillespie,basisr
conor,basisr
yuhuichen,basisr
csgillespie,sbmlmodels
conor,sbmlmodels
yuhuichen,sbmlmodels
nilsw,cshapes
bbuchsbaum,fmrireg
adragulescu,xlsx
deepayan,lattice
felix,lattice
paul,lattice
romain,cpp
arne,linprog
edd,inline
osklyar,inline
romain,inline
jmc,inline
sloiseau,drawexpression
weston,itertools
jramirez,bcvars
jramirez,gapanalysis
kmiddleton,jnt
arnima,hafrodb
gunnaro,hafrodb
jryan,indexing
blewis,indexing
renaud,nmf
jelias,lazymlva
lionelguy,genoplotr
jensroatkultima,genoplotr
chunhuawu,mcmcpanel
esanmiguel,fisheyer
leisch,gsymbols
ingo,gsymbols
tscharl,gsymbols
halpo,pfda
yihui,isu
ekwan,tableplot
friendly,tableplot
nauer,annotationdbix
tscharl,annotationdbix
