
//1
Position	Likelihood	Alpha
12729490.4844	5.829467e+00	1.255872e-04
12859376.1016	2.979971e-08	1.600000e-02
12989261.7188	2.385343e+01	5.619911e-06
13119147.3359	1.617840e+02	1.696227e-05
13249032.9531	2.244678e-02	2.321720e-02
13378918.5703	6.733122e-01	2.028003e-03
13508804.1875	2.216431e+00	3.000578e-03
13638689.8047	1.259154e-02	8.258466e-02
13768575.4219	1.612721e+02	8.034663e-06
13898461.0391	7.415042e+01	7.710285e-06
14028346.6562	1.293502e-07	1.126760e-02
14158232.2734	9.793219e-01	5.575803e-02
14288117.8906	3.795711e+00	1.201449e-04
14418003.5078	2.318400e-01	3.164567e-04
14547889.1250	1.467974e-01	1.064129e-02
14677774.7422	3.437861e-01	1.926369e-02
14807660.3594	4.989164e-08	3.519061e-02
14937545.9766	2.979971e-08	3.508771e-02
15067431.5938	7.490187e-02	1.004498e-03
15197317.2109	1.568087e-02	6.265043e-02
15327202.8281	2.289382e-01	3.342102e-03
15457088.4453	1.090951e-01	1.903328e-02
15586974.0625	5.670569e-08	1.008403e-02
15716859.6797	7.559315e-01	1.316206e-03
15846745.2969	6.281662e-01	3.486244e-03
15976630.9141	4.001178e-01	1.755292e-02
16106516.5312	2.979971e-08	1.967213e-01
16236402.1484	2.979971e-08	2.222222e-01
16366287.7656	5.123010e-02	5.006958e-03
16496173.3828	4.637329e-03	2.424422e-02
16626059.0000	2.246353e-02	7.205337e-02
16755944.6172	2.853053e-01	9.704148e-03
16885830.2344	1.002068e-02	3.920476e-03
17015715.8516	2.979971e-08	1.875000e-01
17145601.4688	1.429377e-01	1.383368e-01
17275487.0859	1.788196e+01	9.787235e-05
17405372.7031	3.783181e-03	2.157503e-02
17535258.3203	1.668087e-02	9.207445e-03
17665143.9375	2.979971e-08	7.407405e-02
17795029.5547	6.134410e-01	3.291172e-02
17924915.1719	1.963418e-01	2.995822e-03
18054800.7891	1.117637e-01	1.416086e-02
18184686.4062	5.996839e-08	2.999999e+00
18314572.0234	3.776773e-01	3.229571e-03
18444457.6406	4.637329e-03	3.070934e-01
18574343.2578	1.429665e+00	1.844565e-04
18704228.8750	3.687310e+02	8.282374e-06
18834114.4922	1.609082e-01	2.078021e-03
18964000.1094	5.228390e-01	3.405449e-03
19093885.7266	4.637329e-03	2.126031e-01
19223771.3438	4.576433e-03	2.489947e-02
19353656.9609	3.908726e+00	2.682244e-04
19483542.5781	1.061713e+00	2.749863e-03
19613428.1953	4.658838e-02	1.046909e-02
19743313.8125	7.057011e-01	1.679690e-03
19873199.4297	2.459686e-03	7.248962e-02
20003085.0469	1.554421e-01	1.517041e-02
20132970.6641	7.080053e-01	7.100247e-04
20262856.2812	1.344964e+02	1.841255e-05
20392741.8984	8.454564e-03	5.943742e-03
20522627.5156	1.824814e+00	2.232566e-04
20652513.1328	8.016351e-01	8.846721e-04
20782398.7500	4.862072e-02	3.667034e-03
20912284.3672	4.680423e-03	1.893042e-02
21042169.9844	6.114352e-02	1.663603e-03
21172055.6016	1.251097e-02	2.215686e-02
21301941.2188	1.570505e-02	4.910438e-02
21431826.8359	7.320753e-03	5.832395e-03
21561712.4531	8.867964e+00	1.009921e-04
21691598.0703	8.370756e-01	6.534919e-03
21821483.6875	1.933224e-01	1.718004e-03
21951369.3047	2.979971e-08	5.529953e-02
22081254.9219	7.640704e-01	1.540379e-03
22211140.5391	5.693900e+01	1.592108e-05
22341026.1562	7.379873e-02	5.428857e-02
22470911.7734	4.064605e-01	6.882055e-03
22600797.3906	2.350308e+00	1.903480e-03
22730683.0078	2.397266e-02	5.936248e-04
22860568.6250	1.459899e+00	6.087260e-04
22990454.2422	9.089346e-02	1.604976e-03
23120339.8594	3.965581e-03	7.311452e-01
23250225.4766	8.520777e-01	1.070940e-03
23380111.0938	1.657969e+00	1.089720e-03
23509996.7109	2.623832e+00	8.716254e-05
23639882.3281	6.162839e-01	2.613967e-03
23769767.9453	1.469089e+00	1.645969e-03
23899653.5625	4.500748e-03	1.368238e-02
24029539.1797	1.609058e-01	1.366266e-02
24159424.7969	4.278642e+00	3.963846e-05
24289310.4141	2.949993e+00	1.259536e-03
24419196.0312	1.738420e-01	4.448099e-03
24549081.6484	8.940800e-01	7.540038e-05
24678967.2656	7.510975e-01	1.647741e-03
24808852.8828	1.544087e-01	1.075953e-02
24938738.5000	2.979971e-08	1.188119e-01
25068624.1172	1.190935e+00	9.933008e-04
25198509.7344	2.979971e-08	5.999999e-01
25328395.3516	9.779202e-01	1.366344e-03
25458280.9688	1.752251e-02	1.008434e-02
25588166.5859	1.938916e-01	2.051053e-03
25718052.2031	2.224057e-02	1.971272e-02
25847937.8203	2.011838e+00	1.640482e-03
25977823.4375	1.396661e-01	1.648391e-02
26107709.0547	2.902058e+01	7.946182e-05
26237594.6719	7.336567e-01	5.957414e-03
26367480.2891	1.967978e+00	4.541801e-05
26497365.9062	9.736434e+01	1.324203e-05
26627251.5234	2.979971e-08	4.444444e-01
26757137.1406	2.979971e-08	5.042015e-02
26887022.7578	1.596719e+00	7.876536e-04
27016908.3750	8.379277e-01	1.817425e-03
27146793.9922	1.840748e-02	7.101781e-03
27276679.6094	2.234440e-02	4.542496e-02
27406565.2266	2.424114e+00	8.092267e-05
27536450.8438	1.043955e+00	1.045784e-02
27666336.4609	1.532953e-01	4.603220e-04
27796222.0781	2.979971e-08	6.666666e-01
27926107.6953	8.779760e-01	2.527749e-04
28055993.3125	2.777136e-01	1.015708e-03
28185878.9297	6.252240e-02	1.510419e-02
28315764.5469	3.961193e-01	7.702009e-04
28445650.1641	1.082467e+00	1.827583e-04
28575535.7812	2.979971e-08	1.200000e+01
28705421.3984	7.385540e-01	2.003940e-03
28835307.0156	7.851928e-01	7.814434e-04
28965192.6328	1.594981e-01	1.189587e-02
29095078.2500	2.979971e-08	2.251407e-02
29224963.8672	2.234443e-02	9.084992e-02
29354849.4844	1.570505e-02	6.987933e-02
29484735.1016	2.979971e-08	1.090909e+00
29614620.7188	4.637329e-03	3.004175e-02
29744506.3359	1.451032e+00	3.665276e-03
29874391.9531	1.603690e-01	7.670434e-03
30004277.5703	8.747318e-08	1.454545e-02
30134163.1875	6.095719e-02	2.533979e-03
30264048.8047	1.067600e+00	3.238412e-03
30393934.4219	2.234440e-02	5.357815e-02
30523820.0391	1.570502e-02	8.651725e-02
30653705.6562	1.442931e-07	1.287553e-02
30783591.2734	4.637329e-03	6.141868e-02
30913476.8906	1.005637e+00	1.849158e-03
31043362.5078	4.481369e+00	1.333885e-04
31173248.1250	4.637329e-03	3.004175e-02
31303133.7422	2.039377e-01	2.407335e-03
31433019.3594	2.229078e-02	8.425598e-03
31562904.9766	2.979970e-08	8.053688e-02
31692790.5938	1.841127e+02	1.989012e-05
31822676.2109	2.979971e-08	3.870967e-02
31952561.8281	2.431428e-01	8.852591e-03
32082447.4453	5.534272e-03	8.452112e-03
32212333.0625	1.793202e-01	4.345371e-03
32342218.6797	1.725775e+01	1.018988e-04
32472104.2969	2.979971e-08	1.500000e+00
32601989.9141	2.208839e-02	4.859413e-02
32731875.5312	2.979971e-08	7.741933e-02
32861761.1484	1.547592e-02	1.056315e-02
32991646.7656	1.641717e+00	1.469254e-03
33121532.3828	4.949575e-08	8.450701e-02
33251418.0000	7.594369e-04	8.116601e-03
33381303.6172	8.884336e-01	1.449914e-03
33511189.2344	9.567649e-02	8.437079e-03
33641074.8516	6.086533e-01	1.028121e-02
33770960.4688	5.537124e+01	1.231137e-05
33900846.0859	1.211349e-01	4.269481e-03
34030731.7031	1.810081e-01	1.820576e-02
34160617.3203	1.431876e-01	2.305613e-02
34290502.9375	1.584295e+00	4.650565e-04
34420388.5547	1.370337e+00	5.820452e-04
34550274.1719	4.588701e-03	2.559112e-02
34680159.7891	1.810911e+00	1.766608e-03
34810045.4062	2.503416e-02	4.378520e-03
34939931.0234	2.979971e-08	9.230767e-02
35069816.6406	2.052335e-01	9.093825e-02
35199702.2578	4.637347e-03	3.454801e-02
35329587.8750	1.265315e+00	1.374877e-03
35459473.4922	6.804196e-01	1.553144e-03
35589359.1094	1.692785e+01	1.892628e-05
35719244.7266	7.498393e-01	5.816740e-03
35849130.3438	2.916262e-01	1.656837e-03
35979015.9609	1.703741e-01	1.928994e-02
36108901.5781	1.039650e-01	1.398627e-03
36238787.1953	4.971704e-03	3.274693e-03
36368672.8125	2.979971e-08	7.547167e-02
36498558.4297	1.844006e-02	6.393093e-03
36628444.0469	4.369877e+00	3.018031e-04
36758329.6641	1.899399e+01	6.179938e-05
36888215.2812	3.176238e-02	3.290628e-03
37018100.8984	2.756894e-02	2.265629e-02
37147986.5156	1.842573e-01	8.665184e-03
37277872.1328	9.905028e-02	2.531124e-02
37407757.7500	2.346315e-02	6.942021e-03
37537643.3672	4.437951e-01	1.238951e-03
37667528.9844	2.546855e-01	1.178465e-02
37797414.6016	3.459594e-02	9.801189e-03
37927300.2188	1.707181e+00	7.532483e-04
38057185.8359	2.979971e-08	1.754386e-02
38187071.4531	2.936089e-01	2.078635e-03
38316957.0703	2.233902e-02	1.595075e-02
38446842.6875	4.667468e-01	5.615103e-03
38576728.3047	2.979971e-08	2.000000e+00
38706613.9219	2.894859e-01	1.194311e-03
38836499.5391	4.595776e-01	7.279045e-03
38966385.1562	6.050654e+00	2.089891e-04
39096270.7734	5.915505e-08	3.409090e-02
39226156.3906	2.148094e+00	1.190456e-03
39356042.0078	2.979971e-08	7.058822e-02
39485927.6250	6.113453e-01	1.007988e-03
39615813.2422	7.702432e+00	1.882771e-04
39745698.8594	2.979971e-08	2.409638e-02
39875584.4766	1.546293e+00	7.795716e-04
40005470.0938	2.979971e-08	1.558441e-01
40135355.7109	1.289046e-01	3.649129e-03
40265241.3281	2.071500e+01	1.576415e-05
40395126.9453	1.858959e-02	9.157675e-03
40525012.5625	1.721764e-01	1.492936e-02
40654898.1797	6.148763e+00	8.055691e-05
40784783.7969	4.825231e-01	2.925101e-04
40914669.4141	4.502448e+00	2.409447e-04
41044555.0312	2.278267e-01	3.513052e-03
41174440.6484	5.853714e-08	2.784222e-02
41304326.2656	3.186967e-02	1.112575e-02
41434211.8828	3.151622e-01	1.755923e-03
41564097.5000	2.979971e-08	1.445783e-01
41693983.1172	1.702111e-01	2.211834e-03
41823868.7344	1.338579e-02	2.752822e-02
41953754.3516	2.979971e-08	1.008403e-01
42083639.9688	4.784587e+01	2.312200e-05
42213525.5859	1.560724e+02	7.792210e-06
42343411.2031	6.837525e+01	7.099534e-06
42473296.8203	4.713751e+00	2.415777e-04
42603182.4375	2.979971e-08	3.076922e-01
42733068.0547	2.979971e-08	7.058822e-01
42862953.6719	2.979971e-08	2.054794e-02
42992839.2891	7.721613e-01	1.862129e-03
43122724.9062	6.216049e-03	1.050890e-02
43252610.5234	4.583568e-03	1.760409e-02
43382496.1406	5.090336e-02	5.261396e-03
43512381.7578	2.637698e-01	6.977200e-04
43642267.3750	4.637329e-03	4.848844e-02
43772152.9922	4.438030e+00	2.758795e-04
43902038.6094	3.775748e+01	2.581317e-05
44031924.2266	2.234440e-02	1.305968e-01
44161809.8438	3.483752e-03	2.297675e-02
44291695.4609	1.898336e-02	6.776679e-02
44421581.0781	1.434910e-01	1.075953e-01
44551466.6953	4.646096e-03	1.005033e-02
44681352.3125	2.155308e-01	2.453955e-03
44811237.9297	5.529778e-03	2.032235e-02
44941123.5469	4.637329e-03	1.256291e-01
45071009.1641	1.738047e-02	1.129447e-02
45200894.7812	2.346465e-01	3.928780e-03
45330780.3984	2.979971e-08	2.000000e+00
45460666.0156	6.168705e-01	5.903030e-03
45590551.6328	2.606158e-03	8.879901e-04
45720437.2500	6.528854e-01	6.145919e-03
45850322.8672	4.637359e-03	1.535467e-02
45980208.4844	6.306301e-01	3.954606e-02
46110094.1016	4.637358e-03	2.284166e-02
46239979.7188	4.631673e-03	1.749267e-02
46369865.3359	7.339550e-02	8.779613e-03
46499750.9531	4.637329e-03	1.381920e-01
46629636.5703	1.123621e-01	1.373603e+00
46759522.1875	1.570443e-02	4.129232e-02
46889407.8047	1.473040e+00	6.202560e-04
47019293.4219	2.234599e-02	4.018362e-02
47149179.0391	1.123622e-01	6.243653e-02
47279064.6562	3.849569e-01	4.010540e-02
47408950.2734	1.169958e-07	3.571427e-02
47538835.8906	1.069782e-01	6.382585e-03
47668721.5078	1.338663e-01	2.707336e-02
47798607.1250	1.418077e+00	1.327549e-04
47928492.7422	6.560943e-02	2.943264e-03
48058378.3594	1.434911e-01	4.210250e-02
48188263.9766	1.136511e-02	3.845055e-03
48318149.5938	1.809932e-01	7.820605e-03
48448035.2109	3.445751e-01	2.505429e-03
48577920.8281	5.832325e-01	9.085670e-04
48707806.4453	3.933063e+00	3.988744e-05
48837692.0625	5.768720e-08	1.967213e-02
48967577.6797	6.830801e-01	1.159906e-02
49097463.2969	3.279727e-01	2.312464e-03
49227348.9141	4.586430e-02	1.164656e-02
49357234.5312	8.699666e-01	2.022045e-03
49487120.1484	7.503981e+00	2.870175e-04
49617005.7656	2.683098e+00	3.314910e-04
49746891.3828	2.494387e-01	1.294887e-02
49876777.0000	2.603360e-01	2.944470e-03
50006662.6172	1.152761e-01	1.200301e-03
50136548.2344	1.570030e-02	1.593739e-02
50266433.8516	3.423909e-03	2.253992e-03
50396319.4688	1.535736e+00	2.403514e-03
50526205.0859	8.103744e-01	3.275154e-03
50656090.7031	3.439619e-01	1.781525e-03
50785976.3203	5.138354e-03	9.313808e-03
50915861.9375	2.979970e-08	1.008403e-01
51045747.5547	1.935520e-01	1.603152e-03
51175633.1719	4.545809e+01	3.269407e-05
51305518.7891	7.088723e+01	2.726702e-05
51435404.4062	5.670878e-01	3.452402e-04
51565290.0234	1.146746e+00	1.686191e-01
51695175.6406	2.323476e-03	7.763319e-03
51825061.2578	2.979971e-08	1.200000e+00
51954946.8750	8.893249e-03	3.122984e-03
52084832.4922	5.093696e-01	2.291738e-03
52214718.1094	1.582673e-02	1.376411e-02
52344603.7266	2.979970e-08	6.451610e-02
52474489.3438	2.979971e-08	3.669724e-02
52604374.9609	2.979971e-08	7.272727e-02
52734260.5781	5.971061e-08	2.047781e-02
52864146.1953	1.329163e+00	1.055972e-03
52994031.8125	1.678586e-01	2.296825e-02
53123917.4297	9.558152e-02	2.420909e-03
53253803.0469	9.215132e-02	1.436115e-03
53383688.6641	3.970697e-02	1.030127e-02
53513574.2812	2.144424e-02	1.044774e-02
53643459.8984	1.601367e-01	6.826686e-03
53773345.5156	7.193987e-02	6.709823e-03
53903231.1328	7.855776e-01	4.401624e-03
54033116.7500	2.242670e-01	4.299829e-03
54163002.3672	3.941288e-01	7.791284e-04
54292887.9844	2.234440e-02	5.804300e-02
54422773.6016	2.430252e+00	8.731592e-04
54552659.2188	8.265467e-02	5.894681e-04
54682544.8359	2.577912e+00	8.158061e-05
54812430.4531	6.327037e-01	1.129888e-02
54942316.0703	2.713295e-01	1.185168e-03
55072201.6875	2.204786e-02	1.044774e-01
55202087.3047	7.985512e-01	1.642867e-03
55331972.9219	2.979971e-08	6.936414e-02
55461858.5391	6.360405e-02	4.607354e-03
55591744.1562	1.122996e-01	1.476993e-02
55721629.7734	1.251459e+00	8.170626e-04
55851515.3906	2.979971e-08	3.428571e-01
55981401.0078	2.979971e-08	1.875000e-01
56111286.6250	3.206884e-02	3.883664e-03
56241172.2422	4.634066e-03	1.067120e-02
56371057.8594	1.004360e+00	3.917310e-04
56500943.4766	1.379039e+00	2.922157e-04
56630829.0938	3.481701e-01	2.124622e-03
56760714.7109	1.441883e+00	1.835932e-04
56890600.3281	8.703277e-02	1.232730e-03
57020485.9453	2.310329e+01	2.651640e-05
57150371.5625	1.502452e+00	6.138478e-04
57280257.1797	4.638940e-02	1.224378e-04
57410142.7969	1.464462e-01	1.584098e-03
57540028.4141	4.747451e-01	2.420101e-03
57669914.0312	1.480648e+01	8.181480e-05
57799799.6484	2.022608e-01	3.002679e-03
57929685.2656	2.979971e-08	4.379562e-02
58059570.8828	9.800372e-01	2.587308e-04
58189456.5000	2.979971e-08	1.384083e-02
58319342.1172	1.912967e+01	4.564068e-05
58449227.7344	7.045240e-02	3.062433e-03
58579113.3516	3.551329e-01	3.208544e-03
58708998.9688	6.324605e-02	4.583105e-03
58838884.5859	2.979971e-08	5.479450e-02
58968770.2031	1.800658e-02	2.528612e-02
59098655.8203	2.979971e-08	2.033898e-01
59228541.4375	1.384110e-01	6.564943e-03
59358427.0547	5.574528e-01	1.574565e-03
59488312.6719	1.213954e-01	1.016543e-02
59618198.2891	4.636983e-03	6.741074e-02
59748083.9062	4.617289e-03	5.880512e-02
59877969.5234	2.979971e-08	2.352941e-01
60007855.1406	2.979971e-08	7.499999e-01
60137740.7578	2.226469e-02	1.274115e-02
60267626.3750	2.979971e-08	1.623816e-02
60397511.9922	2.095943e-01	2.378636e-03
60527397.6094	4.031159e-03	1.065809e-02
60657283.2266	1.293793e-06	9.980625e-03
60787168.8438	3.001522e+00	9.196758e-04
60917054.4609	1.447351e+02	6.907987e-06
61046940.0781	3.233183e+00	2.797398e-04
61176825.6953	7.230059e-01	7.786096e-03
61306711.3125	1.185723e-01	5.822019e-02
61436596.9297	4.637329e-03	5.640492e-02
61566482.5469	2.234440e-02	3.665874e-02
61696368.1641	1.764675e-01	1.350090e-02
61826253.7812	8.374781e-01	4.945174e-03
61956139.3984	3.244368e+01	2.382454e-05
62086025.0156	4.477290e-01	6.437540e-03
62215910.6328	4.122948e+01	4.902507e-05
62345796.2500	5.451769e+01	3.611288e-05
62475681.8672	4.661909e-03	2.240363e-03
62605567.4844	7.648005e-06	9.178064e-03
62735453.1016	5.962002e-08	5.020919e-02
62865338.7188	6.649258e-02	5.780620e-03
62995224.3359	2.515293e-02	1.096680e-02
63125109.9531	2.304900e-01	1.718815e-03
63254995.5703	5.572307e-01	1.417962e-04
63384881.1875	2.979971e-08	9.836065e-02
63514766.8047	2.979971e-08	3.999999e-01
63644652.4219	2.043608e+00	2.282562e-04
63774538.0391	2.960006e-01	5.904331e-03
63904423.6562	4.044385e-01	4.039049e-03
64034309.2734	4.642949e-03	9.243617e-03
64164194.8906	1.327653e+00	1.781702e-03
64294080.5078	1.957521e+00	8.496338e-04
64423966.1250	2.979971e-08	4.255318e-02
64553851.7422	4.640103e-03	2.093819e-02
64683737.3594	1.415598e-01	3.738784e-03
64813622.9766	2.979971e-08	7.058823e-01
64943508.5938	4.637329e-03	2.657539e-02
65073394.2109	1.464530e-01	2.354534e-03
65203279.8281	8.569095e-01	9.630847e-04
65333165.4453	4.637358e-03	3.037187e-02
65463051.0625	2.979971e-08	5.263157e-02
65592936.6797	2.979971e-08	1.176470e-01
65722822.2969	9.714559e-02	1.174104e-03
65852707.9141	2.979971e-08	6.185565e-02
65982593.5312	1.918174e-02	4.566495e-03
66112479.1484	1.455423e-01	3.304407e-04
66242364.7656	1.732988e+00	1.911495e-03
66372250.3828	2.003867e+00	9.886515e-03
66502136.0000	1.724500e-01	2.387048e-04
66632021.6172	2.016643e+00	8.793119e-04
66761907.2344	5.436541e-01	2.371573e-03
66891792.8516	2.979971e-08	1.690141e-01
67021678.4688	2.227628e-02	1.658371e-02
67151564.0859	5.501252e-08	1.212121e-01
67281449.7031	2.979971e-08	7.894734e-02
67411335.3203	1.466103e+00	6.437844e-04
67541220.9375	1.600634e-01	2.968124e-02
67671106.5547	4.664321e-03	2.126032e-02
67800992.1719	2.979971e-08	4.285714e-01
67930877.7891	2.979971e-08	6.896550e-02
68060763.4062	3.080514e+00	6.641016e-04
68190649.0234	2.307860e-02	1.510419e-02
68320534.6406	2.188431e+00	5.885110e-04
68450420.2578	1.413520e+00	4.639318e-04
68580305.8750	7.724420e-01	7.808477e-04
68710191.4922	5.329454e-03	2.512582e-02
68840077.1094	9.728727e-01	1.414596e-03
68969962.7266	1.434910e-01	6.052235e-02
69099848.3438	2.979970e-08	1.199999e-01
69229733.9609	2.239886e-02	2.048576e-02
69359619.5781	1.543324e-02	5.304989e-03
69489505.1953	1.178630e-02	2.107275e-03
69619390.8125	2.979971e-08	6.315788e-01
69749276.4297	1.123621e-01	4.578679e-01
69879162.0469	1.123621e-01	5.494415e-02
70009047.6641	9.798165e+01	2.400298e-05
70138933.2812	5.446499e-01	1.032785e-02
70268818.8984	8.439668e-08	1.550387e-02
70398704.5156	1.782924e-01	2.121893e-02
70528590.1328	4.637329e-03	3.070934e-01
70658475.7500	1.570502e-02	2.018736e-01
70788361.3672	2.326589e-02	4.975114e-02
70918246.9844	1.600633e-01	2.844452e-02
71048132.6016	2.785087e-01	1.706799e-02
71178018.2188	2.234440e-02	1.044774e+00
71307903.8359	4.112194e-01	1.602687e-02
71437789.4531	3.576155e-02	5.473691e-03
71567675.0703	7.179051e-02	1.284246e-02
71697560.6875	1.212465e-01	8.874057e-04
71827446.3047	8.916594e-01	1.349871e-02
71957331.9219	1.672622e-01	6.081010e-04
72087217.5391	2.234443e-02	2.321720e-01
72217103.1562	1.197896e+00	9.450701e-04
72346988.7734	9.000146e-01	3.613273e-03
72476874.3906	6.338692e-01	2.619186e-03
72606760.0078	1.705373e+00	3.913402e-03
72736645.6250	2.234440e-02	4.179096e-01
72866531.2422	1.442740e+00	8.214765e-04
72996416.8594	1.738717e+00	1.070927e-03
73126302.4766	1.006638e+01	8.632188e-06
73256188.0938	5.856519e+00	6.618565e-05
73386073.7109	3.704072e-02	3.387059e-03
73515959.3281	4.629028e-03	7.896689e-02
73645844.9453	2.816057e+00	3.520673e-04
73775730.5625	9.298581e-01	1.095733e-02
73905616.1797	1.123621e-01	1.856221e-02
74035501.7969	2.979971e-08	3.333333e-02
74165387.4141	1.371908e-01	2.630502e-02
74295273.0312	1.998086e-02	1.229145e-02
74425158.6484	4.637329e-03	7.086771e-02
74555044.2656	5.163762e-03	7.178806e-03
74684929.8828	1.700569e+00	7.432276e-04
74814815.5000	1.275722e-07	1.384083e-02
74944701.1172	2.979971e-08	4.137930e-01
75074586.7344	6.027336e-08	2.729180e-02
75204472.3516	4.637329e-03	3.892733e-02
75334357.9688	3.757612e-01	3.342008e-03
75464243.5859	2.979971e-08	6.282720e-02
75594129.2031	1.123621e-01	1.248731e-01
75724014.8203	1.457325e+01	1.368599e-05
75853900.4375	4.637329e-03	9.212802e-01
75983786.0547	8.321341e-02	5.253275e-03
76113671.6719	2.579645e+01	1.629718e-05
76243557.2891	2.234440e-02	1.099762e-01
76373442.9062	1.644736e-01	6.509970e-03
76503328.5234	7.508870e-02	3.101223e-03
76633214.1406	7.976727e-01	5.125146e-04
76763099.7578	2.209017e+00	7.302971e-04
76892985.3750	1.532633e+00	5.749996e-04
77022870.9922	8.427506e-01	7.799541e-04
77152756.6094	2.979971e-08	2.105263e-01
77282642.2266	2.367183e-02	5.357815e-02
77412527.8438	4.530474e-01	2.036909e-03
77542413.4609	1.610970e-02	1.873054e-02
77672299.0781	5.953063e-08	1.318681e-01
77802184.6953	2.728820e+00	3.818880e-05
77932070.3125	2.979971e-08	1.685393e-02
78061955.9297	7.754661e-02	1.662908e-02
78191841.5469	6.824383e+01	8.221824e-06
78321727.1641	4.702055e-01	9.029641e-03
78451612.7812	6.627830e+00	1.569141e-04
78581498.3984	3.395177e+01	1.373089e-05
78711384.0156	2.234440e-02	2.089548e+00
